trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-102.01888811448424,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-205.54473829898916,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-41.12853829208663,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-25.85559952207597,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-78.61106437925392,"{0: 22, 1: 1, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-73.3501104519206,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,15,-103.17715030678572,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-172.03513587601404,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-156.60182616491298,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-138.68563933926922,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,16,-46.658218041515696,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-32.160455984509916,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-83.45720987019826,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-146.46431510074495,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-203.0358021281717,"{0: 23, 1: 3, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",35,0,-169.5930072470023,"{0: 23, 1: 5, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-129.45193439641974,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-174.05379503421398,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-137.91356665846553,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-67.21257736598682,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-168.69693429361877,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-133.48116249021487,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
