trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,5,-50.73412939405039,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.0}",20,0,-110.53261772715939,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': -0.5}",30,0,-159.72783005716826,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': -1.0}",25,0,-186.44717247477695,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': -1.5}",25,0,-145.3882666530975,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': -2.0}",30,1,-181.15277035223792,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': -2.5}",20,0,-34.12131593950964,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': -3.0}",25,18,-22.022620763781024,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': -3.5}",25,0,-107.21912425579593,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': -4.0}",25,14,-26.944331543541477,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': -4.5}",20,0,-47.09393529515117,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': -5.0}",25,0,-61.14813474965895,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': -5.5}",25,0,-130.27852376348196,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': -6.0}",20,0,-159.35402017335804,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': -6.5}",25,0,-139.2511871801344,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': -7.0}",25,0,-82.88798047576292,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': -7.5}",30,0,-154.35794976086416,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': -8.0}",30,0,-124.5290006658824,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': -8.5}",25,8,-45.48729015850631,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -9.0}",25,0,-49.39260773827687,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,4,-36.74109298200335,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-50.13480117692424,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-145.4559241426587,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-144.0133435872117,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-56.146921460175854,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-102.67238249553581,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.615811091081056,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.269729420766225,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.370161749448116,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.947285664400415,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
